average_age,rating
0.25,7.2
2.0,6.1
4.0,5.4
5.0,5.9
5.5,5.9
6.0,7.6
6.5,6.6
6.6666666666667425,6.3
7.75,6.6
8.0,5.7
8.333333333333258,3.5
8.5,6.6
8.666666666666742,5.6
9.0,5.2
9.25,6.3
9.5,6.4
9.666666666666742,5.6
10.0,5.228571428571428
10.333333333333258,5.4
10.5,7.300000000000001
10.666666666666742,8.6
10.75,7.3
11.0,6.34
11.25,5.5
11.333333333333258,6.233333333333334
11.5,6.09
11.666666666666742,5.0600000000000005
12.0,5.68
12.25,6.4
12.333333333333258,5.9
12.5,6.773333333333334
12.666666666666742,7.4
12.75,5.300000000000001
13.0,5.8136363636363635
13.25,6.4
13.333333333333258,5.5200000000000005
13.5,6.199999999999999
13.666666666666742,5.6571428571428575
13.75,5.685714285714285
14.0,6.351851851851853
14.200000000000045,2.6
14.25,6.171428571428572
14.333333333333258,6.009090909090909
14.5,6.06470588235294
14.666666666666742,6.7125
14.75,5.6000000000000005
14.799999999999955,5.9
15.0,6.119354838709677
15.25,6.34
15.333333333333258,6.7124999999999995
15.5,5.8549999999999995
15.666666666666742,5.838461538461538
15.75,6.05
16.0,6.429411764705882
16.25,6.2
16.333333333333258,6.421428571428571
16.5,5.940740740740739
16.59999999999991,4.9
16.666666666666742,6.006666666666666
16.75,5.76
17.0,6.244186046511628
17.25,5.766666666666667
17.333333333333258,5.978571428571429
17.5,5.9743589743589745
17.666666666666742,6.36923076923077
17.75,6.836363636363637
18.0,6.084848484848486
18.166666666666742,5.9
18.200000000000045,7.85
18.25,5.369230769230769
18.333333333333258,5.959999999999999
18.5,6.46231884057971
18.666666666666742,6.081250000000001
18.75,5.6000000000000005
18.85714285714289,5.7
19.0,6.282000000000002
19.166666666666742,5.6
19.200000000000045,5.9
19.25,5.883333333333335
19.333333333333258,6.318518518518517
19.40000000000009,6.050000000000001
19.5,6.396341463414635
19.59999999999991,5.949999999999999
19.666666666666742,6.074999999999998
19.75,6.299999999999999
19.799999999999955,3.9
19.833333333333258,6.6
20.0,5.997857142857143
20.25,6.418518518518518
20.28571428571422,7.1
20.333333333333258,6.392307692307694
20.5,6.291228070175437
20.59999999999991,6.0
20.666666666666742,6.1048780487804875
20.71428571428578,7.2
20.75,6.434210526315788
20.799999999999955,6.7
21.0,6.026363636363643
21.166666666666742,7.800000000000001
21.200000000000045,5.55
21.25,6.017391304347826
21.28571428571422,5.3
21.333333333333258,6.131372549019609
21.375,5.2
21.5,5.968617021276601
21.59999999999991,6.3999999999999995
21.666666666666742,6.009876543209879
21.75,6.078260869565219
21.833333333333258,6.85
22.0,5.9051369863013745
22.166666666666742,8.3
22.200000000000045,5.5
22.25,6.093749999999999
22.333333333333258,6.201315789473682
22.40000000000009,6.6
22.5,5.942481203007515
22.57142857142867,6.6
22.59999999999991,6.279999999999999
22.666666666666742,6.044705882352943
22.75,5.8469696969696985
22.799999999999955,6.166666666666667
22.833333333333258,6.5
22.85714285714289,8.6
23.0,6.039716312056742
