rating,average_age
10.0,31.42857142857133
9.8,23.59999999999991
9.8,26.0
9.8,33.0
9.8,47.0
9.7,41.40000000000009
9.7,64.33333333333326
9.6,23.5
9.6,41.0
9.5,28.0
9.5,34.0
9.5,57.0
9.4,20.0
9.4,21.5
9.4,26.0
9.4,28.40000000000009
9.4,30.0
9.4,36.0
9.4,36.5
9.4,36.5
9.4,39.5
9.4,40.0
9.4,48.33333333333326
9.4,52.0
9.4,52.75
9.4,60.33333333333326
9.3,24.75
9.3,27.0
9.3,38.0
9.3,46.5
9.3,47.0
9.3,49.66666666666674
9.3,52.25
9.3,63.0
9.2,12.5
9.2,17.0
9.2,18.0
9.2,19.333333333333258
9.2,21.0
9.2,22.666666666666742
9.2,26.0
9.2,26.333333333333258
9.2,28.333333333333258
9.2,28.5
9.2,28.5
9.2,29.25
9.2,30.125
9.2,30.75
9.2,31.0
9.2,31.0
9.2,32.0
9.2,32.0
9.2,32.5
9.2,32.66666666666674
9.2,32.66666666666674
9.2,32.75
9.2,34.40000000000009
9.2,34.5
9.2,34.799999999999955
9.2,37.33333333333326
9.2,38.0
9.2,39.0
9.2,40.0
9.2,40.33333333333326
9.2,40.5
9.2,42.0
9.2,42.66666666666674
9.2,43.33333333333326
9.2,44.0
9.2,44.0
9.2,44.0
9.2,44.0
9.2,45.33333333333326
9.2,45.5
9.2,47.0
9.2,47.799999999999955
9.2,49.33333333333326
9.2,55.0
9.2,55.5
9.2,59.5
9.2,66.0
9.2,76.5
9.2,78.0
9.2,81.33333333333326
9.1,24.0
9.1,24.0
9.1,24.5
9.1,26.5
9.1,27.40000000000009
9.1,29.333333333333258
9.1,30.42857142857133
9.1,31.0
9.1,33.0
9.1,33.5
9.1,33.5
9.1,33.5
9.1,34.0
9.1,34.0
9.1,35.0
9.1,35.33333333333326
9.1,35.33333333333326
9.1,36.0
9.1,36.0
9.1,36.0
9.1,37.33333333333326
9.1,38.0
9.1,38.33333333333326
9.1,38.625
9.1,39.0
9.1,40.200000000000045
9.1,40.33333333333326
9.1,41.0
9.1,41.0
9.1,42.5
9.1,42.75
9.1,43.0
9.1,44.0
9.1,46.0
9.1,46.66666666666674
9.1,47.0
9.1,48.0
9.1,52.0
9.1,53.33333333333326
9.1,54.0
9.1,56.5
9.1,57.0
9.1,57.33333333333326
9.1,57.5
9.1,59.0
9.1,60.25
9.1,64.75
9.1,66.0
9.1,69.0
9.0,16.333333333333258
9.0,22.5
9.0,22.666666666666742
9.0,24.5
9.0,25.0
9.0,26.333333333333258
9.0,26.5
9.0,26.5
9.0,27.333333333333258
9.0,27.5
9.0,27.5
9.0,27.5
9.0,28.0
9.0,29.0
9.0,29.5
9.0,29.666666666666742
9.0,29.666666666666742
9.0,30.0
9.0,30.25
9.0,30.666666666666742
9.0,31.333333333333258
9.0,31.333333333333258
9.0,31.333333333333258
9.0,31.5
9.0,33.200000000000045
9.0,33.25
9.0,33.5
9.0,33.75
9.0,34.0
9.0,34.0
9.0,34.0
9.0,35.0
9.0,36.0
9.0,36.0
9.0,36.0
9.0,36.25
9.0,36.33333333333326
9.0,37.25
9.0,37.5
9.0,37.5
9.0,37.5
9.0,37.66666666666674
9.0,38.0
9.0,38.0
9.0,38.40000000000009
9.0,39.0
9.0,39.25
9.0,40.0
9.0,40.5
9.0,40.66666666666674
9.0,40.75
9.0,41.0
9.0,41.25
9.0,41.5
9.0,41.66666666666674
9.0,42.5
9.0,43.0
9.0,43.5
9.0,44.0
9.0,44.5
9.0,44.66666666666674
9.0,45.0
9.0,45.0
9.0,46.0
9.0,46.25
9.0,46.5
9.0,47.0
9.0,47.0
9.0,47.200000000000045
9.0,47.5
9.0,47.5
9.0,47.75
9.0,48.0
9.0,49.33333333333326
9.0,49.5
9.0,50.0
9.0,50.0
9.0,50.5
9.0,51.33333333333326
9.0,52.0
9.0,52.0
9.0,52.0
9.0,52.625
9.0,52.75
9.0,53.0
9.0,53.0
9.0,53.0
9.0,54.33333333333326
9.0,54.75
9.0,55.0
9.0,55.0
9.0,55.0
9.0,56.0
9.0,56.0
9.0,56.75
9.0,57.0
9.0,57.5
9.0,58.33333333333326
9.0,59.0
9.0,60.0
9.0,61.0
9.0,61.5
9.0,64.5
9.0,70.0
9.0,80.33333333333326
8.9,21.166666666666742
8.9,21.666666666666742
8.9,23.0
8.9,25.0
8.9,26.25
8.9,26.333333333333258
8.9,26.5
8.9,26.5
8.9,29.25
8.9,31.0
8.9,32.0
8.9,32.75
8.9,33.0
8.9,34.0
8.9,34.42857142857133
8.9,35.5
8.9,35.5
8.9,36.33333333333326
8.9,36.5
8.9,37.0
8.9,37.25
8.9,38.33333333333326
8.9,38.5
8.9,38.5
8.9,38.66666666666674
8.9,39.0
8.9,39.0
8.9,39.0
8.9,39.25
8.9,39.33333333333326
8.9,40.33333333333326
8.9,40.5
8.9,41.0
8.9,41.25
8.9,41.5
8.9,41.75
8.9,41.75
8.9,42.0
8.9,42.25
8.9,42.25
8.9,42.33333333333326
8.9,43.33333333333326
8.9,43.5
8.9,43.66666666666674
8.9,44.0
8.9,44.5
8.9,44.5
8.9,44.75
8.9,45.0
8.9,45.33333333333326
8.9,45.5
8.9,45.5
8.9,45.75
8.9,46.0
8.9,47.0
8.9,48.0
8.9,48.0
8.9,48.25
8.9,48.25
8.9,48.5
8.9,48.5
8.9,49.0
8.9,49.0
8.9,49.33333333333326
8.9,49.66666666666674
8.9,50.0
8.9,50.33333333333326
8.9,50.33333333333326
8.9,50.75
8.9,52.33333333333326
8.9,52.40000000000009
8.9,53.33333333333326
8.9,53.5
8.9,53.5
8.9,54.0
8.9,54.0
8.9,55.0
8.9,55.5
8.9,55.66666666666674
8.9,56.0
8.9,58.0
8.9,59.5
8.9,60.5
8.9,61.0
8.9,61.125
8.9,61.40000000000009
8.9,61.5
8.9,63.25
8.9,65.25
8.9,66.5
8.9,68.0
8.9,82.75
8.8,20.5
8.8,21.5
8.8,21.5
8.8,21.5
8.8,22.5
8.8,23.0
8.8,23.5
8.8,23.833333333333258
8.8,24.0
8.8,24.25
8.8,24.5
8.8,24.833333333333258
8.8,25.0
8.8,25.666666666666742
8.8,26.0
8.8,26.5
8.8,26.5
8.8,26.5
8.8,26.5
8.8,27.0
8.8,27.0
8.8,27.333333333333258
8.8,28.0
8.8,28.5
8.8,28.59999999999991
8.8,28.799999999999955
8.8,29.0
8.8,29.0
8.8,29.0
8.8,29.0
8.8,29.25
8.8,29.5
8.8,29.5
8.8,30.0
8.8,30.25
8.8,30.333333333333258
8.8,30.5
8.8,30.5
8.8,31.0
8.8,31.0
8.8,31.0
8.8,31.0
8.8,31.0
8.8,31.200000000000045
8.8,31.333333333333258
8.8,31.40000000000009
8.8,31.5
8.8,31.5
8.8,32.0
8.8,32.40000000000009
8.8,32.75
8.8,33.0
8.8,33.0
8.8,33.0
8.8,33.33333333333326
8.8,33.33333333333326
8.8,33.5
8.8,34.5
8.8,34.5
8.8,34.5
8.8,34.66666666666674
8.8,34.75
8.8,35.0
8.8,35.0
8.8,35.0
8.8,35.25
8.8,35.5
8.8,36.0
8.8,36.0
8.8,36.0
8.8,36.0
8.8,36.40000000000009
8.8,37.0
8.8,37.0
8.8,37.0
8.8,37.5
8.8,37.75
8.8,38.0
8.8,38.25
8.8,38.5
8.8,38.5
8.8,38.59999999999991
8.8,39.0
8.8,39.5
8.8,39.66666666666674
8.8,40.25
8.8,40.5
8.8,40.5
8.8,40.75
8.8,40.75
8.8,41.0
8.8,41.0
8.8,41.5
8.8,41.5
8.8,41.66666666666674
8.8,42.0
8.8,42.0
8.8,42.0
8.8,42.33333333333326
8.8,42.5
8.8,42.66666666666674
8.8,42.66666666666674
8.8,42.66666666666674
8.8,42.75
8.8,43.0
8.8,43.0
8.8,43.0
8.8,43.5
8.8,43.5
8.8,43.625
8.8,44.0
8.8,44.5
8.8,44.5
8.8,44.75
8.8,45.0
8.8,45.5
8.8,45.5
8.8,45.66666666666674
8.8,46.0
8.8,46.5
8.8,47.0
8.8,47.0
8.8,47.0
8.8,47.25
8.8,47.75
8.8,48.25
8.8,48.33333333333326
8.8,48.5
8.8,49.25
8.8,51.33333333333326
8.8,51.5
8.8,51.66666666666674
8.8,52.375
8.8,52.5
8.8,53.0
8.8,53.25
8.8,54.0
8.8,56.0
8.8,56.0
8.8,57.200000000000045
8.8,57.75
8.8,58.0
8.8,58.0
8.8,59.0
8.8,59.33333333333326
8.8,59.66666666666674
8.8,61.0
8.8,61.5
8.8,62.33333333333326
