,avg_seasons,avg_rating
0,30.0,7.900000000000038
1,24.0,8.099999999999948
2,20.0,7.900000000000043
3,18.0,6.722102119185954
4,15.0,7.0999999999999615
5,13.0,4.799999999999997
6,12.0,4.199999999999886
7,12.0,7.75968056096517
8,12.0,8.799999999999999
9,11.0,3.0
10,11.0,6.8000000000000576
11,11.0,7.599999999999988
12,10.0,6.600000000000015
13,10.0,6.946979260595145
14,10.0,7.0
15,10.0,8.299999999999981
16,9.0,2.5
17,9.0,4.199999999999993
18,9.0,5.937349397590361
19,9.0,7.516923076923075
20,9.0,7.546563192904657
21,8.0,3.2137529137529026
22,8.0,4.899999999999991
23,8.0,6.5
24,8.0,7.099999999999948
25,8.0,7.299999999999986
26,8.0,7.476645435244089
27,8.0,7.868693009118562
28,7.0,5.099999999999998
29,7.0,6.899999999999888
30,7.0,7.800000000000008
31,7.0,8.299999999999976
32,7.0,8.548320693391238
33,6.0,4.599999999999999
34,6.0,5.44938896314641
35,6.0,5.764135021097067
36,6.0,6.310781671159037
37,6.0,6.6065934065933805
38,6.0,6.636241610738285
39,6.0,6.8999999999999995
40,6.0,7.100000000000015
41,6.0,7.299999999999975
42,6.0,7.439479905437356
43,6.0,7.8999999999999915
44,6.0,8.100000000000009
45,6.0,8.109107468123794
46,6.0,8.199999999999994
47,6.0,8.383044554455441
48,6.0,8.699999999999994
49,5.0,3.0
50,5.0,4.092307692307732
51,5.0,5.505687203791469
52,5.0,6.5
53,5.0,7.399999999999996
54,5.0,7.5
55,5.0,8.699999999999994
56,4.0,5.266568047337308
57,4.0,5.699999999999995
58,4.0,6.001954397394168
59,4.0,6.099999999999998
60,4.0,6.370967741935484
61,4.0,6.52500000000001
62,4.0,6.6199999999999966
63,4.0,6.8000000000000025
64,4.0,6.978356713426827
65,4.0,7.199999999999992
66,4.0,7.2364759427826435
67,4.0,7.431159420289877
68,4.0,7.548913043478258
69,4.0,7.5874087591240436
70,4.0,7.599999999999996
71,4.0,7.900000000000026
72,4.0,8.100000000000005
73,4.0,8.199999999999994
74,4.0,8.299999999999985
75,4.0,8.300000000000008
76,4.0,8.331531531531528
77,4.0,8.3440366972477
78,4.0,8.364968152866217
79,4.0,8.5
80,4.0,8.525123152709364
81,4.0,8.557837837837821
82,4.0,8.599999999999996
83,4.0,8.800000000000004
84,4.0,9.0
85,4.0,9.300000000000004
86,3.0,4.611616532159576
87,3.0,4.6360424028268445
88,3.0,4.839622641509438
89,3.0,5.0549450549450565
90,3.0,5.099999999999997
91,3.0,5.300000000000006
92,3.0,5.84482758620689
93,3.0,5.884000000000007
94,3.0,6.020312499999994
95,3.0,6.076027397260251
96,3.0,6.138497652582176
97,3.0,6.151612903225802
98,3.0,6.200000000000001
99,3.0,6.400000000000003
100,3.0,6.542342342342355
101,3.0,6.699999999999995
102,3.0,6.7102564102564015
103,3.0,6.8
104,3.0,6.800000000000003
105,3.0,6.900000000000004
106,3.0,7.0
107,3.0,7.100000000000015
108,3.0,7.199999999999996
109,3.0,7.1999999999999975
110,3.0,7.200000000000001
111,3.0,7.204152249135013
112,3.0,7.293333333333337
113,3.0,7.300000000000083
114,3.0,7.3738303619666
115,3.0,7.397033898305106
116,3.0,7.399999999999984
117,3.0,7.3999999999999915
118,3.0,7.430578512396684
119,3.0,7.4557251908397095
120,3.0,7.471999999999998
121,3.0,7.5800000000000045
122,3.0,7.599999999999996
123,3.0,7.599999999999997
124,3.0,7.599999999999999
125,3.0,7.622950819672123
126,3.0,7.700000000000002
127,3.0,7.705617977528115
128,3.0,7.800000000000001
129,3.0,8.086363636363643
130,3.0,8.098150163220964
131,3.0,8.199999999999994
132,3.0,8.3
133,3.0,8.300000000000006
134,3.0,8.458181818181826
135,3.0,8.600000000000012
136,3.0,8.600000000000012
137,2.0,3.0
138,2.0,4.465979381443298
139,2.0,4.6000000000000005
140,2.0,4.9399008674101
141,2.0,5.0
142,2.0,5.343319838056675
143,2.0,5.3640789473684745
144,2.0,5.399999999999999
145,2.0,5.3999999999999995
146,2.0,5.494337349397602
147,2.0,5.5
148,2.0,5.600000000000009
149,2.0,5.619101123595523
150,2.0,5.816000000000008
151,2.0,5.917525773195877
152,2.0,6.0
153,2.0,6.086206896551715
154,2.0,6.223761375126487
155,2.0,6.224719101123597
156,2.0,6.23354430379749
157,2.0,6.278172588832487
158,2.0,6.3
159,2.0,6.52786434463799
160,2.0,6.560629921259856
161,2.0,6.578542510121432
162,2.0,6.599999999999997
163,2.0,6.654545454545454
164,2.0,6.6836466165414
165,2.0,6.694132653061243
166,2.0,6.700000000000002
167,2.0,6.700000000000002
168,2.0,6.800000000000004
169,2.0,6.856320224719037
170,2.0,6.8948529411764525
171,2.0,6.927157360406077
172,2.0,6.939272727272602
173,2.0,6.954828660436103
174,2.0,6.99
175,2.0,7.055555555555555
176,2.0,7.099999999999998
177,2.0,7.123798076923006
178,2.0,7.160301507537676
179,2.0,7.199999999999996
