,rating_mean,ammount_movies
0,8.054545454545455,11
1,8.016666666666667,18
2,7.8,12
3,7.799999999999998,28
4,7.792307692307691,26
5,7.578100263852246,379
6,7.573333333333334,15
7,7.570542635658913,129
8,7.562745098039215,51
9,7.559999999999998,20
10,7.534285714285719,140
11,7.527272727272728,22
12,7.52,35
13,7.491428571428571,35
14,7.49107142857143,56
15,7.484782608695654,46
16,7.479166666666668,48
17,7.478260869565218,46
18,7.467346938775509,49
19,7.4587412587412585,143
20,7.449999999999999,16
21,7.444692737430163,179
22,7.441875447387263,1397
23,7.438297872340426,47
24,7.435714285714286,70
25,7.433333333333333,18
26,7.417298578199048,422
27,7.412676056338024,71
28,7.409917355371901,121
29,7.40754716981132,53
30,7.4021505376344106,93
31,7.400000000000002,15
32,7.388020833333336,192
33,7.38796147672552,623
34,7.384000000000002,50
35,7.370304975922955,623
36,7.36086956521739,23
37,7.352941176470588,17
38,7.333333333333333,168
39,7.327439024390245,164
40,7.3254237288135595,118
41,7.317105263157895,152
42,7.3160493827160495,81
43,7.309090909090909,22
44,7.304456824512533,359
45,7.300000000000001,11
46,7.298803191489364,752
47,7.295454545454547,22
48,7.271428571428573,161
49,7.271122994652403,187
50,7.267295597484273,159
51,7.264022662889514,353
52,7.239917012448134,1205
53,7.235294117647058,17
54,7.216692957223727,21554
55,7.2139344262295095,244
56,7.209090909090909,11
57,7.209090909090909,11
58,7.208333333333333,12
59,7.19306220095694,836
60,7.185714285714286,49
61,7.169090909090909,55
62,7.168749999999999,16
63,7.166666666666668,15
64,7.148993288590601,149
65,7.145454545454544,22
66,7.126666666666667,15
67,7.126315789473685,19
68,7.122580645161293,31
69,7.1078947368421055,38
70,7.0915662650602425,83
71,7.0725,40
72,7.045,20
73,7.015384615384614,13
74,7.003703703703705,27
75,6.985416666666666,48
76,6.982857142857142,35
77,6.9772727272727275,22
78,6.974576271186438,59
79,6.971428571428572,28
80,6.953488372093022,43
81,6.918181818181819,11
82,6.914285714285714,21
83,6.896551724137932,29
84,6.889130434782607,46
85,6.887209302325584,86
86,6.869999999999999,30
87,6.847499999999999,40
88,6.842857142857142,28
89,6.838658146964855,313
90,6.823529411764707,51
91,6.81888111888112,143
92,6.789320388349514,103
93,6.7879032258064536,124
94,6.787731092436969,595
95,6.786666666666667,15
96,6.774137931034481,116
97,6.761320754716984,106
98,6.759090909090909,88
99,6.759090909090909,44
100,6.752631578947369,19
101,6.745454545454544,11
102,6.7437499999999995,32
103,6.73076923076923,26
104,6.73,30
105,6.728961748633876,183
106,6.7273504273504265,117
107,6.697500000000001,40
108,6.696330275229357,218
109,6.6909090909090905,11
110,6.687234042553194,47
111,6.68550724637681,207
112,6.678947368421052,19
113,6.665277777777777,72
114,6.659106529209623,291
115,6.655813953488372,86
116,6.653846153846154,13
117,6.653846153846154,13
118,6.65,16
119,6.648484848484849,33
120,6.64313725490196,102
121,6.6428571428571415,49
122,6.633333333333332,24
123,6.626086956521739,46
124,6.623076923076923,13
125,6.622222222222223,18
126,6.62043010752688,93
127,6.618518518518518,54
128,6.608695652173913,46
129,6.6,22
130,6.6,37
131,6.599999999999999,18
132,6.595210727969345,522
133,6.592857142857143,14
134,6.59240506329114,79
135,6.591999999999998,25
136,6.590043290043288,462
137,6.586842105263159,190
138,6.583333333333333,18
139,6.574074074074073,54
140,6.570964125560534,892
141,6.564285714285714,28
142,6.554545454545454,22
143,6.550000000000002,46
144,6.535222672064782,247
145,6.531070678796367,1429
146,6.529971988795515,357
147,6.524929971988792,357
148,6.524469413233463,801
149,6.516666666666666,18
150,6.509196035242286,1816
151,6.50909090909091,11
152,6.499999999999999,11
153,6.495833333333334,24
154,6.493333333333333,15
155,6.491176470588236,34
156,6.488636363636362,44
157,6.485714285714287,21
158,6.484615384615386,13
159,6.483870967741937,93
160,6.476829268292683,246
161,6.470588235294117,17
162,6.459183673469382,245
163,6.448387096774191,31
164,6.4479999999999995,25
165,6.4387640449438175,178
166,6.431012658227847,316
167,6.422448979591839,49
168,6.401744186046506,516
169,6.401075268817204,186
170,6.399999999999999,18
171,6.399302325581398,430
172,6.390909090909091,11
173,6.386666666666668,60
174,6.3807142857142845,420
175,6.379591836734694,49
176,6.378588235294123,425
177,6.37848101265823,237
178,6.374285714285716,420
179,6.374238227146819,722
180,6.3735294117647046,34
