,genres,rating_mean
0,"Documentary,Music,War",8.054545454545455
1,"Documentary,Family,Sport",8.016666666666667
2,"Biography,Documentary,Musical",7.8
3,"Documentary,Family,Music",7.799999999999998
4,"Action,Documentary,Sport",7.792307692307691
5,"Biography,Documentary,Music",7.578100263852246
6,"Documentary,Thriller",7.573333333333334
7,"Documentary,History,Music",7.570542635658913
8,"Documentary,Drama,Sport",7.562745098039215
9,"Documentary,Family,News",7.559999999999998
10,"Biography,Documentary,Family",7.534285714285719
11,"Biography,Documentary,War",7.527272727272728
12,"Action,Documentary,Drama",7.52
13,"Action,Biography,Documentary",7.491428571428571
14,"Documentary,Family,History",7.49107142857143
15,"Adventure,Documentary,Family",7.484782608695654
16,"Adventure,Documentary,Sport",7.479166666666668
17,"Animation,Biography,Documentary",7.478260869565218
18,"Documentary,History,Sport",7.467346938775509
19,"Biography,Documentary,Sport",7.4587412587412585
20,"Adventure,Documentary,Music",7.449999999999999
21,"Adventure,Documentary",7.444692737430163
22,"Documentary,Music",7.441875447387263
23,"Documentary,Drama,War",7.438297872340426
24,"Action,Adventure,Documentary",7.435714285714286
