,primary_title,rating,votes
0,The Shawshank Redemption,9.3,2152571
1,The Dark Knight,9.0,2124670
2,Inception,8.8,1886650
3,Fight Club,8.8,1719582
4,Pulp Fiction,8.9,1689104
5,Forrest Gump,8.8,1656398
6,Game of Thrones,9.4,1599661
7,The Matrix,8.7,1548969
8,The Lord of the Rings: The Fellowship of the Ring,8.8,1544139
9,The Lord of the Rings: The Return of the King,8.9,1528908
10,The Godfather,9.2,1477131
11,The Dark Knight Rises,8.4,1417211
12,The Lord of the Rings: The Two Towers,8.7,1382851
13,Interstellar,8.6,1342257
14,Se7en,8.6,1322551
15,Breaking Bad,9.5,1272796
16,Django Unchained,8.4,1245173
17,Gladiator,8.5,1242717
18,Batman Begins,8.2,1221258
19,The Avengers,8.0,1204451
20,The Silence of the Lambs,8.6,1165492
21,Inglourious Basterds,8.3,1158096
22,Star Wars: Episode IV - A New Hope,8.6,1143898
23,Saving Private Ryan,8.6,1139819
24,Schindler's List,8.9,1116421
25,The Departed,8.5,1100571
26,The Prestige,8.5,1091658
27,Star Wars: Episode V - The Empire Strikes Back,8.7,1075314
28,The Wolf of Wall Street,8.2,1065723
29,Avatar,7.8,1063787
30,Memento,8.4,1050094
31,The Green Mile,8.6,1045944
32,Shutter Island,8.1,1032747
33,The Godfather: Part II,9.0,1028154
34,American Beauty,8.3,1006930
35,Titanic,7.8,977738
36,Guardians of the Galaxy,8.0,977494
37,Pirates of the Caribbean: The Curse of the Black Pearl,8.0,975890
38,American History X,8.5,970500
39,V for Vendetta,8.2,968246
40,Back to the Future,8.5,961972
41,Léon: The Professional,8.5,951686
42,Goodfellas,8.7,930044
43,Kill Bill: Vol. 1,8.1,929459
44,Terminator 2: Judgment Day,8.5,929404
45,WALL·E,8.4,928280
46,The Usual Suspects,8.5,925947
47,Braveheart,8.3,906782
48,Finding Nemo,8.1,887167
49,Iron Man,7.9,884940
50,Star Wars: Episode VI - Return of the Jedi,8.3,880102
51,The Lion King,8.5,868333
52,Up,8.2,866760
53,The Sixth Sense,8.1,859522
54,The Truman Show,8.1,858592
55,Reservoir Dogs,8.3,850622
56,One Flew Over the Cuckoo's Nest,8.7,850092
57,Deadpool,8.0,843067
58,Eternal Sunshine of the Spotless Mind,8.3,842064
59,Raiders of the Lost Ark,8.4,828790
60,Toy Story,8.3,819933
61,The Shining,8.4,806450
62,The Hunger Games,7.2,805109
63,The Walking Dead,8.3,803047
64,Mad Max: Fury Road,8.1,801821
65,Jurassic Park,8.1,800476
66,Star Wars: Episode VII - The Force Awakens,7.9,797991
67,A Beautiful Mind,8.2,787469
68,Good Will Hunting,8.3,787091
69,No Country for Old Men,8.1,783969
70,Gone Girl,8.1,781642
71,Slumdog Millionaire,8.0,757857
72,"Monsters, Inc.",8.0,757752
73,The Terminator,8.0,746268
74,Catch Me If You Can,8.1,742155
75,Die Hard,8.2,733438
76,Snatch,8.3,732628
77,Sherlock,9.1,731460
78,Alien,8.4,731313
79,The Hobbit: An Unexpected Journey,7.8,727548
80,Gravity,7.7,723915
81,Sin City,8.0,720932
82,Avengers: Infinity War,8.5,719776
83,Requiem for a Dream,8.3,714649
84,Friends,8.9,710339
85,Iron Man 3,7.2,709610
86,Donnie Darko,8.0,707556
87,Harry Potter and the Deathly Hallows: Part 2,8.1,706381
88,A Clockwork Orange,8.3,705352
89,Toy Story 3,8.3,704873
90,300,7.7,701472
91,Thor,7.0,700331
92,The Martian,8.0,699050
93,The Intouchables,8.5,695604
94,Captain America: The First Avenger,6.9,686744
95,Avengers: Age of Ultron,7.3,686664
96,Captain America: The Winter Soldier,7.7,685394
97,The Hangover,7.7,680909
98,Gran Torino,8.1,680854
99,Scarface,8.3,680354
