,genres,avg_rating,avg_seasons
114,"Family,Game-Show,Reality-TV",7.3738303619666,3.0
115,"Adventure,Drama,History",7.397033898305106,3.0
116,"Biography,Family,Reality-TV",7.399999999999984,3.0
117,"Family,Fantasy,Sport",7.3999999999999915,3.0
118,"Comedy,Game-Show,Mystery",7.430578512396684,3.0
119,"Documentary,Mystery,Sci-Fi",7.4557251908397095,3.0
120,"Comedy,Horror,News",7.471999999999998,3.0
121,"Biography,Crime,History",7.5800000000000045,3.0
122,"Action,Game-Show,History",7.599999999999996,3.0
123,"Action,Romance,Sci-Fi",7.599999999999997,3.0
124,"Sci-Fi,Short,Thriller",7.599999999999999,3.0
125,"Action,Adventure,Music",7.622950819672123,3.0
126,"Family,Musical,Reality-TV",7.700000000000002,3.0
127,"Horror,News",7.705617977528115,3.0
128,"Documentary,Drama,News",7.800000000000001,3.0
129,"Comedy,History,Music",8.086363636363643,3.0
130,"Adventure,Documentary,Mystery",8.098150163220964,3.0
131,"Documentary,History,Western",8.199999999999994,3.0
132,"News,Reality-TV,Sport",8.3,3.0
133,"Action,Documentary,Horror",8.300000000000006,3.0
134,"Adventure,Sport",8.458181818181826,3.0
135,"Drama,News",8.600000000000012,3.0
136,"Fantasy,Talk-Show",8.600000000000012,3.0
137,"Crime,Documentary,Game-Show",3.0,2.0
138,"Documentary,Family,Music",4.465979381443298,2.0
139,"Adventure,Comedy,Thriller",4.6000000000000005,2.0
140,"Adventure,Comedy,Reality-TV",4.9399008674101,2.0
141,"Biography,Comedy,Talk-Show",5.0,2.0
142,"Horror,Reality-TV",5.343319838056675,2.0
143,"Comedy,Music,News",5.3640789473684745,2.0
144,"Family,Game-Show,Musical",5.399999999999999,2.0
145,"Crime,Musical",5.3999999999999995,2.0
146,"Game-Show,Romance",5.494337349397602,2.0
147,"Adventure,Comedy,Game-Show",5.5,2.0
148,"Crime,Music,News",5.600000000000009,2.0
149,"Adventure,Family,Musical",5.619101123595523,2.0
150,"Biography,Comedy",5.816000000000008,2.0
151,"Family,News,Sport",5.917525773195877,2.0
152,"Game-Show,Horror",6.0,2.0
153,"Action,Game-Show",6.086206896551715,2.0
154,"Comedy,News,Sport",6.223761375126487,2.0
155,"History,Sci-Fi",6.224719101123597,2.0
