,name,born,primary_title,premiered,runtime_minutes
105,Angélica Aragón,1953,Un sentimiento honesto en el calabozo del olvido,2019,254
106,Ani Ipekkaya,1939,Kasabanin incisi,2003,1430
107,Anita Cerquetti,1931,Poussières d'amour - Abfallprodukte der Liebe,1996,130
108,Anita Ekberg,1931,Dov'era Lei a quell'Ora?,1992,135
109,Anita Riotte,1916,Scheidung op Kölsch,1981,138
110,Anita Välkki,1926,Der fliegende Holländer,1989,139
111,Anja Silja,1935,Dialogues des Carmelites,2004,149
112,Anjali Devi,1927,Brindavanam,1992,153
113,Anjali Devi,1927,Ashoka Chakravarthy,1989,153
114,Anjali Devi,1927,Nari Nari Naduma Murari,1989,137
115,Anjali Devi,1927,Chinnari Sneham,1989,136
116,Anju Mahendru,1946,Mummy Punjabi: Superman Ki Bhi Maa!!,2011,121
117,Anju Mahendru,1946,Na Jaane Kabse,2011,132
118,Ann Bell,1938,The Forsyte Saga,2002,276
119,Ann Buckles,1928,A Woman Named Jackie,1991,246
120,Ann Davies,1934,The Sculptress,1996,180
121,Ann Firbank,1933,Elizabeth I,2005,223
122,Ann Firbank,1933,The Crucible,2014,190
123,Ann Murray,1949,Le Nozze di Figaro,2012,180
124,Ann Rye,1935,Island at War,2004,540
125,Ann Todd,1909,Maelstrom,1985,300
126,Anna Bonaiuto,1950,Atelier Fontana - Le sorelle della moda,2011,200
127,Anna Ciepielewska,1936,Sposób na Alcybiadesa,1997,165
128,Anna Cónová,1954,Jan Hus,2015,240
129,Anna Kamenkova,1953,Tri sestry,2017,133
130,Anna Karen,1936,Possessions,2001,132
131,Anna Kolomiytseva,1898,Meshchane,1965,185
132,Anna Lee,1913,Eleanor and Franklin,1976,203
133,Anna Magnani,1908,The Secret of Santa Vittoria,1969,139
134,Anna Manahan,1924,Straight to Video,2000,150
135,Anna Massey,1937,He Knew He Was Right,2004,240
136,Anna Massey,1937,A Good Murder,2006,180
137,Anna Massey,1937,Thatcher,2008,260
138,Anna Mazzamauro,1938,Una furtiva lacrima,1999,130
139,Anna Mazzamauro,1938,Ma il portiere non c'è mai?,2002,360
140,Anna Polony,1939,Stacyjka,2004,700
141,Anna Seniuk,1942,Kosmos,2006,137
142,Annalisa Ericson,1913,Från Boston till pop,1980,360
143,Anne Bancroft,1931,The Sunchaser,1996,122
144,Anne Bancroft,1931,G.I. Jane,1997,125
145,Anne Bancroft,1931,Keeping the Faith,2000,128
146,Anne Dyson,1909,Macbeth,1983,148
